,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
2127,1258.273704,1076.12049,429.4676196,1846.149916,529.157473,2308.883611,1759.40549,1004.955814,1157.404327,2511.676619,708.2641558,708.2641558,1141.083281,1762.533119,1084.054607,1724.435118,1318.003908,1385.570367,793.5548401
2128,1186.966813,1045.255733,432.8822859,1806.406707,513.814507,2461.81867,1733.51257,979.5849423,1214.62969,2382.261235,691.8858293,691.8858293,1081.698596,1650.767087,1039.665011,1763.39799,1184.785606,1080.226582,803.2937477
2129,1175.178189,1050.01956,433.6205086,1701.718798,495.5851235,2474.305037,1632.368131,973.4605336,1209.581484,2416.718212,722.5822477,722.5822477,1054.637853,1662.405775,1102.904332,1735.319962,1202.480969,988.8977402,789.6521693
2130,1190.339721,1101.398545,453.2111239,1640.19921,515.746485,2514.016528,1575.584768,961.6836641,1149.471155,2484.546582,735.5749357,735.5749357,1018.612279,1677.092567,1186.069846,1732.185766,1128.620868,1051.676672,800.5493242
2131,1229.167169,1133.550375,468.004914,1638.132333,493.300778,2613.981065,1693.313687,1024.970664,1082.609855,2488.65329,751.3785683,751.3785683,1048.559625,1661.338111,1228.914347,1654.462498,1141.56133,1186.136018,835.0480587
2132,1206.391148,1081.661406,469.6375487,1799.819542,483.7345884,2614.843195,1687.824625,1028.037594,1090.224015,2404.798571,785.4769377,785.4769377,1023.278802,1674.228844,1169.809945,1725.21151,1155.671126,1272.526039,876.0635383
2133,1223.569966,1069.71045,454.8986289,1838.980784,474.320962,2616.248112,1611.254452,1118.640608,1152.485316,2369.990082,829.102485,829.102485,1122.564065,1677.313261,1085.72142,1881.366538,1248.060336,1336.763188,947.7732754
2134,1169.387576,1046.268806,454.5754116,1688.49122,490.7428902,2489.924743,1555.667652,1043.862558,1313.832959,2318.69908,805.9513406,805.9513406,1175.428388,1648.798544,1126.100731,1881.435891,1384.535734,1410.682049,991.0810645
2135,1131.376289,935.2545234,464.6680069,1516.167629,509.3893264,2492.801777,1577.912924,1072.524435,1306.213672,2281.555914,861.8225546,861.8225546,1142.018926,1629.771656,1213.632776,1807.071528,1347.632014,1504.291927,971.7518938
2136,1140.120531,858.7878988,498.6269509,1579.335021,495.0421159,2537.739764,1615.362375,1112.44613,1253.870966,2282.775689,830.6543241,830.6543241,1047.529818,1615.165034,1285.868957,1768.449365,1420.408174,1607.108199,987.9266085
2137,1271.040427,892.7624156,509.9538241,1736.299439,498.4017696,2535.837383,1655.891086,1133.075898,1399.700491,2341.549938,857.4369989,857.4369989,981.1864406,1600.434587,1279.533594,1742.945435,1534.138762,1653.481902,1034.107107
2138,1327.493045,921.0861292,490.7800516,1832.733624,488.2945116,2506.64947,1668.352975,1173.372132,1329.459642,2366.316613,817.1685416,817.1685416,984.1196568,1634.876977,1247.221388,1701.6171,1664.154283,1833.290336,1077.006721
2139,1309.639508,891.5556153,522.8365549,1787.450907,487.9932752,2628.235254,1590.300684,1268.100901,1276.893156,2405.34325,824.8514074,824.8514074,996.4483818,1598.665113,1185.54271,1688.304659,1627.820573,1949.525744,1076.712921
2140,1315.797564,902.7045208,586.5165766,1684.541353,470.8401026,2750.182642,1475.808316,1324.343897,1299.873623,2421.455374,741.4461526,741.4461526,957.4087238,1635.926019,1096.807903,1683.002002,1745.75088,2041.336001,1096.855032
2141,1347.797645,936.3308116,597.9388845,1667.621698,485.8474765,2568.191306,1497.762854,1347.135208,1290.01725,2458.315253,730.2808286,730.2808286,929.0496896,1669.50924,1136.655037,1713.675312,1650.292627,1950.908538,1150.591328
2142,1365.451962,890.4936615,564.3255006,1688.842787,535.6997766,2374.397647,1519.318928,1372.935408,1319.873926,2465.642426,693.7403839,693.7403839,928.4714451,1707.760851,1240.469245,1650.313016,1466.215651,1714.97281,1217.678793
2143,1339.266217,949.3073181,548.5764498,1653.777065,653.1481318,2266.911311,1555.657072,1517.149727,1254.341748,2326.243425,694.0928701,694.0928701,943.3483333,1690.483339,1200.931656,1565.247454,1546.265887,2078.182479,1138.13705
2144,1283.297319,1061.125892,555.1790153,1572.634538,678.1908512,2445.131034,1639.91664,1528.40698,1195.464623,2184.949679,688.0614779,688.0614779,963.2565397,1706.359785,1122.979668,1544.44375,1580.88621,3326.926502,1090.31747
2145,1254.976526,1119.485451,538.039515,1598.717918,656.6954003,2609.872107,1587.664261,1508.128069,1265.032749,2393.156828,699.2432799,699.2432799,1013.238219,1667.71518,968.9099507,1542.206654,1561.027456,3845.803319,1038.070627
2146,1304.478638,1197.181228,547.3195199,1633.310106,648.6498122,2646.21585,1578.487991,1565.581546,1287.590469,2496.669604,692.4856213,692.4856213,1084.909185,1620.923245,939.8421429,1510.816154,1727.177615,3271.327634,962.3453307
2147,1278.000783,1230.22816,544.774875,1656.526842,629.5085722,2564.446478,1602.18037,1753.111131,1300.749856,2329.243757,706.3514596,706.3514596,1152.614066,1559.276678,1000.333644,1564.043744,1767.661262,2270.044495,911.1866099
2148,1237.144576,1136.893366,538.2257732,1720.999186,625.5185765,2550.128335,1654.047926,1912.516651,1332.29285,2270.035996,690.007095,690.007095,1206.803554,1556.727277,1071.658697,1614.477054,1526.492879,1327.798095,908.9769308
2149,1248.401445,1118.856673,544.1281222,1626.316468,617.1962734,2574.068978,1666.507282,2197.651466,1340.432792,2241.697609,708.6306841,708.6306841,1236.767405,1534.006991,1030.624207,1637.69045,1402.913696,1147.263823,937.474582
2150,1285.304966,1061.288861,569.2116033,1588.478395,616.6123132,2603.174975,1691.718423,1998.326166,1294.243866,2217.943801,703.8885618,703.8885618,1254.047878,1546.034754,1055.520547,1618.018276,1380.757904,1089.470883,945.4445968
2151,1232.800814,1178.156097,555.5984488,1598.39778,620.0817249,2601.726089,1727.659842,1761.378481,1299.107022,2198.832049,723.9111951,723.9111951,1219.829794,1536.582707,1155.520081,1663.682964,1581.913827,1037.701333,934.7917101
2152,1266.820218,1274.969194,504.0544405,1501.306379,631.2989927,2527.154384,1830.61756,1776.893431,1288.615374,2183.843816,739.9732174,739.9732174,1147.404599,1495.461958,1175.213002,1674.851484,1722.020006,1038.840953,911.7310303
2153,1292.976094,1224.898976,478.7446388,1434.127349,643.2371785,2695.522986,1986.932211,1748.934708,1294.539337,2276.57477,759.1986145,759.1986145,1096.736285,1425.411319,1173.091221,1630.415959,1643.943062,1175.952581,918.1570312
