,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
2222,-335.4480896,-447.9597473,-328.2171326,-131.6631927,-451.1911621,-461.4561462,-178.0316772,-153.9670258,-174.3061981,-313.0671082,-606.3599854,-606.3599854,-217.2088318,-341.6217346,-351.8792419,-284.1700439,-315.535614,-186.1255951,-237.0700989
2223,-336.9977112,-450.4488525,-344.1695557,-138.6598053,-434.3100281,-463.1643982,-178.5954895,-154.3154297,-178.0902863,-310.7227173,-606.6569824,-606.6569824,-205.4411011,-342.3655701,-351.3236389,-278.301239,-323.2024841,-179.3947296,-251.4137726
2224,-334.6610718,-452.8320923,-359.9443359,-149.7847595,-429.8639526,-473.1958923,-180.7060089,-156.9209747,-179.9539642,-307.2838745,-599.9420166,-599.9420166,-173.7641754,-338.8674011,-360.1949768,-270.8371582,-318.6619568,-173.2911072,-260.2639771
2225,-334.8358154,-464.6867065,-369.9275818,-158.6218872,-438.2236328,-477.284668,-171.1870422,-155.7454071,-182.8708649,-305.9138489,-581.8059082,-581.8059082,-158.8353424,-320.5547791,-364.9447327,-274.0837708,-323.2367859,-175.8776245,-242.171936
2226,-329.3644104,-467.1112061,-345.1896667,-162.5848541,-443.012146,-479.2864685,-166.7935181,-154.5027161,-186.8613586,-300.6843262,-578.2385864,-578.2385864,-168.7350769,-323.6186829,-366.0865784,-276.0892639,-333.3382874,-156.4441833,-213.5634155
2227,-329.0193481,-460.6861877,-306.0027771,-160.2485657,-449.6212463,-488.6434937,-167.9184418,-155.7226105,-189.5018311,-294.2973633,-591.4509277,-591.4509277,-181.4221802,-340.7741699,-361.6094055,-273.7793579,-317.9526367,-149.445282,-199.4958191
2228,-339.3157043,-464.3469543,-309.3718872,-144.6820374,-456.3761292,-490.8396912,-165.1919708,-160.3389587,-194.8770599,-293.0697632,-602.7675171,-602.7675171,-182.9261932,-341.1531677,-349.5665283,-267.1989746,-305.864624,-154.2229309,-204.4284363
2229,-345.5958862,-475.5989075,-322.0923157,-124.279892,-458.5987549,-459.0804443,-165.5840454,-164.7891998,-194.704895,-293.5344543,-607.0567017,-607.0567017,-188.4091644,-342.0267334,-337.2342224,-264.6611938,-315.1731567,-156.785675,-212.6985474
2230,-343.6290283,-480.0741272,-327.7640076,-109.2570343,-458.2770081,-434.168396,-159.747406,-161.7086639,-198.9114532,-288.9432373,-608.8813477,-608.8813477,-196.064682,-339.2069397,-337.3881531,-266.7466125,-320.351532,-156.8450165,-216.4654999
2231,-341.288208,-477.477478,-338.6292725,-106.0955582,-459.8603516,-436.1308899,-154.0307007,-164.230957,-206.5473328,-285.7739258,-606.5393677,-606.5393677,-201.4664307,-331.3734436,-341.6646118,-270.1779785,-314.5165405,-161.2242432,-221.2922668
2232,-341.1877747,-462.075592,-347.4474792,-111.2744827,-459.9172668,-428.3738708,-146.4131165,-165.5110474,-205.9118347,-285.0911255,-611.1503296,-611.1503296,-204.2670898,-321.4408264,-332.266449,-270.2739258,-308.2418213,-168.7042389,-232.0870972
2233,-348.2742615,-456.4037476,-355.8713379,-120.5245667,-466.2152405,-426.2215576,-147.4164886,-161.3822479,-212.3085327,-291.1056213,-609.8776855,-609.8776855,-201.1551056,-317.81073,-322.1033936,-274.0266724,-306.4474792,-198.2446136,-238.2473297
2234,-351.0874023,-467.0984497,-360.1579895,-123.8834534,-450.6575623,-448.1729431,-157.8351135,-155.3031769,-212.1120911,-298.9106445,-610.1733398,-610.1733398,-203.3743134,-308.5325928,-315.6721191,-273.6187744,-315.6506653,-200.893631,-224.786026
2235,-352.2834473,-474.8927612,-365.3284607,-123.5667496,-396.0388184,-448.7625732,-149.1900787,-151.0790253,-210.9989319,-299.1210632,-608.8757935,-608.8757935,-214.4595184,-299.92276,-319.6458435,-275.6506653,-329.0157471,-198.0832214,-203.6576843
2236,-351.9836121,-465.8238831,-373.4152527,-125.5912933,-378.8537598,-452.6325378,-138.0217438,-155.3225861,-224.5559235,-287.6515808,-606.2040405,-606.2040405,-221.3865814,-299.6391296,-327.0835876,-283.7868042,-335.2954407,-203.7448883,-196.590744
2237,-347.2660217,-460.1682129,-379.8651428,-127.6571045,-389.8477173,-462.0897827,-141.8969421,-163.1157532,-232.5569,-274.3626404,-593.1975708,-593.1975708,-221.8416748,-299.0520325,-325.8736267,-288.1508484,-331.1230164,-195.0401917,-192.7808685
2238,-345.0871887,-463.8131714,-386.6572266,-136.0772858,-398.1042175,-460.2089539,-147.3497467,-168.9467316,-226.9766693,-292.5454102,-595.1194458,-595.1194458,-219.6967468,-288.3988647,-326.9516296,-283.9451294,-311.6718445,-183.3373413,-202.2020721
2239,-347.1195068,-466.401947,-392.1652832,-132.002243,-405.401947,-454.9315491,-144.8404846,-171.1672821,-229.8526917,-314.1385803,-598.2215576,-598.2215576,-220.0428314,-278.495697,-334.2763672,-278.6664429,-293.6576233,-163.2529297,-209.5306396
2240,-351.2297363,-467.3886108,-394.6355896,-115.2696228,-420.1168823,-460.7797546,-140.9900055,-172.5115051,-239.6304474,-327.2801514,-600.0806274,-600.0806274,-226.2754669,-268.3630371,-333.7147217,-281.8163147,-289.4983826,-157.5674591,-216.1766815
2241,-347.9822083,-465.0913696,-377.275177,-105.6155319,-431.2185059,-461.5333862,-141.0342255,-174.6578064,-243.3319092,-338.0636597,-604.8371582,-604.8371582,-232.9815826,-266.3363953,-331.9131775,-285.31604,-305.5675659,-168.976059,-225.5130615
2242,-349.4937439,-456.9877014,-370.105957,-107.5685501,-436.6670532,-443.3921509,-142.0969391,-172.6624756,-237.2422333,-340.3421631,-603.3226929,-603.3226929,-235.9279327,-271.1616516,-337.1903076,-285.8435669,-312.2203979,-163.9700775,-225.6664581
2243,-349.6438293,-448.9903564,-378.6426392,-118.0062332,-442.3466492,-455.2358093,-137.1596985,-167.7962036,-233.7233429,-336.4645996,-604.7773438,-604.7773438,-239.3562164,-274.6257324,-333.2811584,-289.2542419,-301.8937378,-168.8651276,-195.1249084
2244,-347.400177,-455.2610474,-387.6434021,-119.0750046,-447.2249146,-472.3349304,-135.3967743,-172.7157288,-236.0647583,-330.0828552,-607.2406006,-607.2406006,-244.5201874,-275.0427856,-331.8531799,-298.7574768,-300.4061279,-176.6707153,-175.0599976
2245,-347.2274475,-459.7800293,-395.304718,-119.3277054,-414.1997375,-469.6729736,-128.990036,-161.807312,-235.2119904,-328.7131958,-605.0291748,-605.0291748,-213.9701385,-275.1438293,-335.3650513,-306.5608521,-307.2938538,-167.945343,-169.3038635
